location,New York,New York,New York,New York,New York,New York
lat,40.66653,40.66653,40.66653,40.66653,40.66653,40.66653
lon,-74.06250,-74.06250,-74.06250,-74.06250,-74.06250,-74.06250
asl,44.788,44.788,44.788,44.788,44.788,44.788
variable,Temperature,Temperature,Temperature,Relative Humidity,Relative Humidity,Relative Humidity
unit,°F,°F,°F,%,%,%
level,2 m elevation corrected,2 m elevation corrected,2 m elevation corrected,2 m,2 m,2 m
resolution,daily,daily,daily,daily,daily,daily
aggregation,Maximum,Minimum,Mean,Maximum,Minimum,Mean
timestamp,New York Temperature [2 m elevation corrected],New York Temperature [2 m elevation corrected],New York Temperature [2 m elevation corrected],New York Relative Humidity [2 m],New York Relative Humidity [2 m],New York Relative Humidity [2 m]
20200220T0000,34.045013,24.145014,29.404016,59.0,38.0,49.125
20200221T0000,32.371014,17.953014,26.138514,58.0,28.0,43.833332
20200222T0000,45.601013,26.953014,35.78877,60.0,32.0,43.041668
20200223T0000,52.207016,34.819016,42.950512,61.0,33.0,44.083332
20200224T0000,58.867012,36.781013,47.05002,85.0,43.0,63.458332
20200225T0000,49.81301,43.387012,47.33951,95.0,77.0,87.583336
20200226T0000,47.743015,42.991013,45.25677,97.0,89.0,93.541664
20200227T0000,49.489014,27.169014,37.965263,96.0,43.0,66.583336
20200228T0000,34.693016,22.219015,29.526268,54.0,42.0,46.166668
20200229T0000,31.525015,22.795013,27.544764,66.0,37.0,51.541668
20200301T0000,40.345013,20.707016,30.481766,62.0,45.0,52.708332
20200302T0000,59.191013,35.341015,46.31276,81.0,48.0,62.25
20200303T0000,56.38301,46.177013,51.950512,96.0,75.0,89.0
20200304T0000,56.509014,39.841015,48.337017,86.0,43.0,60.083332
20200305T0000,49.957016,34.369015,43.253513,78.0,38.0,55.5
20200306T0000,47.059013,37.339016,42.585262,93.0,63.0,76.666664
20200307T0000,45.997013,35.125015,40.276012,72.0,20.0,47.25
20200308T0000,56.671013,31.147015,42.753265,70.0,31.0,46.208332
20200309T0000,67.957016,38.509014,52.996014,66.0,34.0,49.0
20200310T0000,68.749016,45.223015,55.911274,83.0,53.0,73.0
20200311T0000,56.815014,36.403015,46.81076,78.0,37.0,54.958332
20200312T0000,46.303013,40.093014,43.454517,94.0,62.0,81.25
20200313T0000,64.17702,43.621014,52.936016,96.0,43.0,74.666664
20200314T0000,52.387016,34.909016,44.485764,67.0,35.0,48.125
20200315T0000,51.27101,38.275013,45.38951,62.0,33.0,44.291668
20200316T0000,43.225014,31.651014,38.527763,76.0,33.0,55.291668
20200317T0000,53.719013,40.921013,46.729015,95.0,57.0,79.291664
20200318T0000,52.747017,35.575016,44.338764,80.0,38.0,61.25
20200319T0000,52.405014,42.811012,47.406265,96.0,72.0,86.875
20200320T0000,77.31702,46.591015,59.089016,96.0,61.0,81.875
20200321T0000,62.053017,30.139015,44.31101,69.0,29.0,47.125
20200322T0000,42.649014,31.777014,37.312767,70.0,38.0,51.25
20200323T0000,43.081013,34.261013,39.66701,94.0,69.0,83.166664
20200324T0000,54.043015,37.609016,45.283768,92.0,46.0,69.833336
20200325T0000,45.133015,38.581017,42.630264,87.0,73.0,78.791664
20200326T0000,55.555016,33.397015,43.943512,91.0,49.0,69.666664
20200327T0000,62.737015,45.295013,53.93726,95.0,30.0,59.291668
20200328T0000,52.099014,44.593014,48.24251,95.0,39.0,69.916664
20200329T0000,53.719013,46.609016,49.517513,96.0,89.0,93.541664
20200330T0000,56.743015,42.829014,49.344257,95.0,59.0,80.666664
20200331T0000,47.977013,38.239014,43.34201,91.0,67.0,76.333336
20200401T0000,51.397015,38.833015,44.624516,79.0,43.0,59.75
20200402T0000,52.711014,35.989014,44.101013,73.0,44.0,58.833332
20200403T0000,50.533012,41.083015,46.347263,77.0,60.0,70.166664
20200404T0000,57.301014,44.035015,50.138515,82.0,52.0,67.333336
20200405T0000,64.89702,47.761013,56.141514,84.0,50.0,66.5
20200406T0000,63.187016,47.671013,56.64851,74.0,25.0,50.291668
20200407T0000,67.07501,48.751015,58.52051,74.0,33.0,45.375
20200408T0000,66.64302,56.185013,60.762264,95.0,49.0,72.75
20200409T0000,60.57701,44.413013,51.40451,94.0,44.0,70.916664
20200410T0000,44.791016,37.951015,42.013012,68.0,43.0,55.833332
20200411T0000,52.639015,32.497013,43.412518,69.0,27.0,46.416668
20200412T0000,68.641014,43.297012,54.769016,78.0,42.0,54.875
20200413T0000,67.61501,55.123013,59.58476,94.0,65.0,85.125
20200414T0000,56.38301,41.96501,50.10026,68.0,40.0,53.375
20200415T0000,50.713013,43.009014,46.589508,63.0,26.0,41.958332
20200416T0000,46.987015,41.281013,43.528767,65.0,23.0,39.458332
20200417T0000,50.78501,33.397015,42.844013,86.0,32.0,49.125
20200418T0000,49.093014,41.857014,45.67602,97.0,56.0,78.541664
20200419T0000,61.495014,37.951015,50.35976,66.0,38.0,51.25
20200420T0000,57.031013,46.843014,52.448513,76.0,33.0,54.333332
20200421T0000,60.397015,36.169014,49.598522,88.0,43.0,62.25
20200422T0000,45.529015,31.975014,38.898262,59.0,33.0,44.75
20200423T0000,52.639015,37.807014,43.918015,75.0,41.0,53.75
20200424T0000,49.543015,43.495014,46.512268,95.0,81.0,90.0
20200425T0000,62.125015,43.135014,51.654263,98.0,50.0,73.083336
20200426T0000,48.553017,42.901012,46.288013,95.0,74.0,90.833336
20200427T0000,48.301014,41.083015,45.094013,94.0,57.0,74.625
20200428T0000,63.043015,38.383015,51.091015,82.0,33.0,56.5
20200429T0000,56.743015,46.555016,51.70601,92.0,65.0,76.5
20200430T0000,60.775017,49.81301,55.251263,96.0,80.0,88.916664
20200501T0000,62.917015,54.79901,58.37726,96.0,68.0,82.666664
20200502T0000,69.847015,49.921013,60.625763,80.0,40.0,57.75
20200503T0000,77.49701,54.061012,65.95226,92.0,42.0,64.458336
20200504T0000,66.24701,47.545013,59.606518,77.0,41.0,56.375
20200505T0000,60.505013,38.293015,50.845016,64.0,25.0,41.25
20200506T0000,54.13301,44.089012,49.939014,86.0,39.0,62.25
20200507T0000,64.39302,43.90901,53.86826,91.0,23.0,54.208332
20200508T0000,54.43901,42.991013,49.870014,93.0,42.0,64.708336
20200509T0000,44.611015,33.361015,39.916008,86.0,33.0,50.416668
20200510T0000,61.531013,33.649014,48.24551,64.0,31.0,46.583332
20200511T0000,57.247013,46.465015,51.557507,90.0,47.0,69.583336
20200512T0000,56.797012,38.041016,48.068516,79.0,25.0,46.666668
20200513T0000,60.415016,41.407013,51.424774,55.0,27.0,36.666668
20200514T0000,69.86501,45.511013,58.117016,81.0,34.0,53.0
20200515T0000,79.80101,56.92301,69.02352,95.0,48.0,70.208336
20200516T0000,73.69902,64.66301,69.385765,83.0,43.0,57.541668
20200517T0000,68.06502,55.987015,62.340267,76.0,42.0,59.166668
20200518T0000,68.04701,53.737015,60.409763,76.0,38.0,56.541668
20200519T0000,65.07701,52.927013,58.250507,73.0,31.0,46.75
20200520T0000,62.089012,49.50701,55.10576,55.0,29.0,42.375
20200521T0000,65.32902,44.881012,54.635517,89.0,46.0,66.666664
20200522T0000,67.88501,50.029015,58.73052,94.0,67.0,84.125
20200523T0000,70.405014,55.41101,62.590763,95.0,77.0,88.333336
20200524T0000,66.03102,48.04901,57.16901,83.0,58.0,69.541664
20200525T0000,61.657013,53.251015,57.77576,91.0,75.0,82.666664
20200526T0000,77.695015,58.02101,66.555275,93.0,60.0,78.916664
20200527T0000,77.209015,58.975014,67.40427,93.0,62.0,80.458336
20200528T0000,72.31302,63.367016,67.38401,95.0,82.0,90.416664
20200529T0000,78.973015,65.221016,71.11901,96.0,74.0,88.5
20200530T0000,80.21501,68.55101,73.479256,97.0,33.0,62.75
20200531T0000,67.99301,55.573013,61.665264,64.0,29.0,44.833332
20200601T0000,69.03702,47.419014,59.77827,63.0,32.0,43.708332
20200602T0000,71.89902,58.345013,64.50251,67.0,36.0,53.75
20200603T0000,79.98102,60.847015,71.364265,85.0,65.0,73.958336
20200604T0000,86.01102,65.54501,75.610756,94.0,35.0,64.166664
20200605T0000,76.03902,67.93901,71.88101,97.0,70.0,86.291664
20200606T0000,86.17302,69.52302,76.012764,97.0,41.0,71.208336
20200607T0000,75.445015,61.42302,68.803764,72.0,36.0,50.708332
20200608T0000,77.42502,59.191013,69.13677,64.0,33.0,47.666668
20200609T0000,88.00902,63.601013,76.42077,69.0,37.0,53.041668
